MF_Number,NS_070,NS_110,NS_143,NS_152,NS_187,NS_196,NS_215,NS_216,NS_217,NS_220,NS_224,NS_225,NS_227,NS_228,NS_231,NS_233,NS_234,NS_238,NS_242,NS_243,NS_244,NS_245,NS_246,NS_261,NS_262,NS_263,NS_264,Ecig_39,Ecig_40,Ecig_41,Ecig_44,Ecig_45,Ecig_47,Ecig_48,Ecig_214,Ecig_221,Ecig_222,Ecig_223,Ecig_229,Ecig_230,Ecig_232,Ecig_236,Ecig_237,Ecig_239,Ecig_240,Ecig_241,Ecig_247,Ecig_248,Ecig_249,Ecig_250,Ecig_251,Ecig_252,Ecig_253,Ecig_254,Ecig_255,Ecig_256,Ecig_257,Ecig_258,Ecig_259,NA_PB1,NA_PB2,NA_PB3,NA_PB4,NA_PB5,NA_PB6,NA_PC1,NA_PC2,NA_PC3,NA_PC4,NA_PC5,NA_PC6,NA_PC7,NA_SB1,NA_SB2,NA_SB3,NA_SB4,NA_SB5,NA_SB6,NA_SB7,NA_SC1,NA_SC2,NA_SC3,NA_SC4,NA_SC5,NA_SC6,NA_SC7
MF_2,1116206475,2608024693,10436125.34,3733023738,832538895,7117302385,3479543793,886059324.9,4829905676,1237297262,7128580863,9000577529,353658596.2,1405403595,3717055969,4178810859,4515131458,4135529306,4183586360,6735831209,4048532740,5702050380,1566677763,6227663545,3291730550,3945564245,1525106423,2320264942,2629203467,301009727,3495176416,1842784783,1202834399,2078556951,2378485108,6515710517,6730785381,9304199229,3478282369,4956084667,3099945689,6686586562,888362632.6,6454153701,4168087716,1760211131,4687189960,3653941014,4851322982,5036756034,5394763618,5973308536,6811671266,6376566779,3882785905,5751112172,4917802454,5333823472,4111940546,4255869.622,4650284.759,3503628.531,3627788.838,5298155.871,4329239.123,4356522626,4496826435,3977430959,4117784849,3768978885,3639011725,3579717851,NA,NA,NA,NA,NA,NA,NA,NA,750551.6632,487606.7369,942984.0116,NA,NA,NA
MF_3,NA,1688508261,5981199.59,2631091440,NA,5794479646,2855197795,NA,4654806576,NA,6095451054,NA,729910314.4,NA,2397233493,3522212200,4465022166,4212305708,4396803595,4681164658,4118490352,4311296799,1081469768,4682801506,2256148770,3097752802,NA,1462453350,2542671049,NA,4522772206,1011839189,NA,NA,909891060.9,5623242808,8232464823,8020559690,2041747398,4519662781,2781873834,5847826516,NA,7406460808,2071203462,1328682935,3370190715,1868264937,2584438024,4896555967,2179633939,3091384429,NA,5842207907,3635883142,5361416545,8596957015,8836674364,2693155019,1600956.165,3734238.93,4851592.945,1498224.339,3853611.645,4430350.962,3002138231,3107227071,3035231540,2962210690,2899921499,3057059632,NA,NA,NA,NA,NA,NA,NA,NA,NA,742069.0918,NA,389778.049,NA,418340.2374,NA
MF_4,383833198.3,1374010136,7153567.14,2629366777,533802872.6,4533282195,1919783356,353083003.1,3228249341,625409340.5,6431077694,8691503146,888541492.9,703109487.9,2137297865,2919314300,3046069376,3605762809,3057347325,4565509054,3170344662,3733967216,1066530548,4703400049,1982606262,3117066157,764274458,1312368149,2051673305,185170033.9,3136982406,991240464.5,519548228.5,637834363.6,1038979601,4326779110,7230492863,6159345243,1943378758,3853017075,2129694121,4987722200,336302079.7,6222235333,1917940946,1337632599,2645973078,1494010364,2305223135,4463604350,NA,2836145509,3882679868,4604235779,2583451320,5107511143,7923577391,8536154926,2007550662,NA,5560808.611,7115731.48,NA,4975205.09,6141555.932,2529760304,2792626206,2639339846,2485715367,3035012167,2584236005,2571707240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_5,1680098.604,NA,NA,NA,NA,NA,1573717.522,NA,NA,NA,4254198.021,NA,NA,NA,1260299.617,1869473.804,NA,NA,1774787.324,1936006.087,NA,1633101.676,NA,NA,NA,1030614.025,NA,5135400.435,133223664.1,1629618.557,NA,16424418.54,2291453.04,6359994.698,24570607.25,16062350.66,1460451859,19841148.04,580378392,815148590.9,15167046.98,NA,2073942.724,5529928.045,1058849.089,7672193.562,NA,9127288.566,43038328.06,300196925.1,212750367.8,10246827.54,3476769.117,12098948.49,1503054162,100067268.4,5819759405,109366851.7,505938030.2,NA,NA,1244667.596,NA,NA,1444147.985,401602146.1,401369187.3,374547362.9,392039399.6,398215107.3,382005251.4,362924659.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_6,NA,NA,NA,3170821.39,NA,NA,324521665.1,NA,7750064.89,NA,5724197.474,5389007233,NA,NA,20274251.02,44817632.77,NA,29485482.67,10505586.27,774905895.9,8582200.957,6606036.172,3449649.884,351997403,15912611.97,54192654.74,9340346.159,37315240.21,NA,NA,960918030.9,NA,NA,NA,NA,NA,NA,NA,7195680.102,6769996.868,16814546.86,44436638.25,NA,32969849.27,186319788.4,14247274.35,1164443810,36808043.27,55787377.71,15492861.4,NA,NA,NA,NA,48679661.61,22344037.53,35866638.04,53865956.14,NA,NA,NA,NA,NA,NA,NA,218963601.2,222921859.8,218689190.5,231711652.6,222442169.2,214335299.9,203031783.9,NA,NA,453177.7148,NA,NA,405819.482,489580.8733,NA,289593.1402,NA,NA,NA,NA,950554.9202
MF_7,129935373.3,546737402.1,NA,1191854581,NA,2417054513,1345599792,195011396.2,2024878820,181878763.3,2857009494,4271589342,213958866.1,234607087.3,1505119607,1883537927,1537064418,1935808661,2016208842,2855531169,2247722150,2212974035,427094933.6,2517625795,772926778.3,1420752839,NA,932435860.2,974853864.8,NA,1611898064,563053732.3,259292215.7,284473372.2,512702697.5,2550290998,3134860103,4520769576,1037440308,2391039454,1217975640,3095474717,259740209.2,2836906085,1077535147,476288717.6,1586982729,1279365608,1717628307,2655569279,1355986757,1692335726,2538630126,2488245691,1127673357,2593485817,3644589968,3738572555,1136031318,NA,NA,NA,NA,NA,NA,1536509350,1537693924,1451941485,1564705854,1542813230,1449471214,1391752280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_11,194195563,753894182.2,NA,1286005199,NA,NA,1452770156,NA,NA,NA,3062727017,3999375266,383324425.4,NA,1424017069,2011474357,1540481893,1853321285,NA,2526341816,2034030892,2241655014,541866731.4,NA,1166962760,1448557348,366583926.8,977097119.7,1347594548,NA,NA,676970861.7,319282043.3,331422688.5,531198423.5,NA,3801116491,3275179773,1190508737,2634715225,1307300028,2443601902,NA,3704942604,1137171977,661049011.9,1514058487,1208280790,1596926162,2523707743,NA,1652462630,2605401581,NA,1540762373,2968720054,3749100055,3993286641,1246866167,NA,NA,NA,NA,NA,NA,1639093141,1630130122,1651377112,1572275861,1595621965,1578468370,1618741871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_12,242762511.8,854269800.2,5266245.124,1650120431,304959865.1,2723508190,1236402763,195236894.6,1854486080,393226738.6,NA,3357883538,475588216.1,395660056.2,1548518039,1710258382,1684867144,1779847103,NA,2863018403,1829923754,2273869249,688068054.6,2787446262,1256193673,1800720085,472739253.9,880244143,1138544594,92743094.74,1802287185,549146646.5,317479929.8,386211855.2,665445599.7,2540067805,2613804678,3476150458,618759971.4,2255279835,1239084826,2788780863,179711679.9,3156183410,1247021731,795759921.8,NA,1203501652,1721093948,2608587507,NA,1802101869,2353561860,2686630991,1604576752,2656819141,NA,NA,1397425948,NA,3176070.16,2731524.915,NA,NA,2422786.639,1641184320,NA,NA,1654750185,1709922051,1582550004,1578608328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_13,305851766.2,893795012.6,15765225.49,1738876395,276521305.6,1887555284,1448598928,210570343,2009788011,470270417.6,3209171104,NA,308115569.7,303859729.1,1473044294,1445317385,1450915035,1316059694,1825565370,2313533279,NA,143806597.3,701337152.4,1995771737,834513168.1,1592868457,561900288.2,820239742.6,1137501561,96322898,NA,564929147.3,304405486.5,430380508.7,822840678.4,2373518305,2265463412,NA,1500566577,2194059006,1005804958,2084849814,213613852.7,1936609178,1416698545,653178431.1,1069931972,1193476948,1634749647,NA,NA,1382215829,2154466903,2196106383,1644513284,2999027348,2710409667,NA,1471733114,NA,10297545.19,9601988.136,NA,10693084.19,10889056.39,1554572436,1453445632,1419177065,1623431540,1450631195,1560852753,1492190370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MF_14,8564288.241,4009487.217,1402196.86,756727.7938,12377935.78,3495757.1,1113609.869,4232896.938,5653651.818,NA,6045013.437,49270597.1,1670724.127,2001025.605,7585169.171,7506817.615,2275371.277,117360296.1,59253942.02,18705728.86,26689540.36,13769805.09,5021287.262,3164134.975,2714030.506,1446314.28,4007565.53,NA,1304571.017,858434.914,2486585.159,644201.7801,13987807.58,1010285.034,5611786.408,7971455.612,173210431.4,10883134.52,6064786.967,16714600.66,16572734.88,363101670.8,1725980.939,12160464.41,770540.8804,8140850.594,31210852.91,3882944.67,271978130,4742721.204,4659571.327,2953124761,4555841.126,5513076.722,1899779.123,1516152.395,20362803.56,2909383.813,1412153.534,566494.9931,NA,1108760.228,NA,NA,1046069.761,36812222.92,38186270.87,42642307.79,39162363.16,42922819.05,37109654.39,37408826.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
